t,i,bin,active,activation_count,update_count,reacquisition_count,unresolved_count,raw_crossing_count,source_time,handoff_inventory,inventory,cumulative_edge_outflow,cumulative_work,thickness,midpoint,radius,width,delta,face_flux_inner,face_flux_outer
0.02039999999999934,81621,10,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.177408613564169e-05,-0.0155339388214599,0.0001640625,1.5625e-05,1.953125e-05,-3.2112906553996994e-11,-4.103774960337105e-11
0.02039999999999934,81621,11,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.128503098267086e-05,-0.015534477804047497,0.0001796875,1.5625e-05,1.953125e-05,-4.103774960337105e-11,-5.065719809443252e-11
0.02039999999999934,81621,12,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.078537129146106e-05,-0.015535143732589128,0.0001953125,1.5625e-05,1.953125e-05,-5.065719809443252e-11,-6.092690119280924e-11
0.02039999999999934,81621,13,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.0379687480596775e-05,-0.015535896723667997,0.0002109375,1.5625e-05,1.953125e-05,-6.092690119280924e-11,-7.185435643917301e-11
0.02039999999999934,81621,14,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.002938888960959e-05,-0.015536745977861043,0.0002265625,1.5625e-05,1.953125e-05,-7.185435643917301e-11,-8.35771344368379e-11
0.02039999999999934,81621,15,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,5.9520637002495286e-05,-0.015537820107345637,0.0002421875,1.5625e-05,1.953125e-05,-8.35771344368379e-11,-9.677251299512213e-11
0.02039999999999934,81621,16,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,5.939617586128366e-05,-0.015538974688907357,0.0002578125,1.5625e-05,1.953125e-05,-9.677251299512213e-11,-1.113730259884214e-10
0.02039999999999934,81621,17,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,5.929893141235706e-05,-0.015540297272802081,0.0002734375,1.5625e-05,1.953125e-05,-1.113730259884214e-10,-1.2788824785824384e-10
0.02039999999999934,81621,18,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,5.93773096447281e-05,-0.015541757484202863,0.0002890625,1.5625e-05,1.953125e-05,-1.2788824785824384e-10,-1.4693278577272597e-10
0.02039999999999934,81621,19,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,5.9722525869714366e-05,-0.015543354777418916,0.0003046875,1.5625e-05,1.953125e-05,-1.4693278577272597e-10,-1.691389623319501e-10
0.02039999999999934,81621,20,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.0544433040908716e-05,-0.01554515650191991,0.0003203125,1.5625e-05,1.953125e-05,-1.691389623319501e-10,-1.9504912597300903e-10
0.02039999999999934,81621,21,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.177272328838592e-05,-0.015547281189818837,0.00033593750000000003,1.5625e-05,1.953125e-05,-1.9504912597300903e-10,-2.2794285625676155e-10
0.02039999999999934,81621,22,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.379981684488784e-05,-0.015549676858488432,0.0003515625,1.5625e-05,1.953125e-05,-2.2794285625676155e-10,-2.698993317630813e-10
0.02039999999999934,81621,23,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.603186813833338e-05,-0.015552016101946113,0.0003671875,1.5625e-05,1.953125e-05,-2.698993317630813e-10,-3.2081733668478643e-10
0.02039999999999934,81621,24,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.772237780552219e-05,-0.015554038574513157,0.0003828125,1.5625e-05,1.953125e-05,-3.2081733668478643e-10,-3.778643981843736e-10
0.02039999999999934,81621,25,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.951416662542141e-05,-0.015555972152370062,0.0003984375,1.5625e-05,1.953125e-05,-3.778643981843736e-10,-4.3745406868043254e-10
0.02039999999999934,81621,26,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,7.139812412920626e-05,-0.015557756795526402,0.0004140625,1.5625e-05,1.953125e-05,-4.3745406868043254e-10,-4.974751627577114e-10
0.02039999999999934,81621,27,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,7.321096837266546e-05,-0.015559460765984271,0.0004296875,1.5625e-05,1.953125e-05,-4.974751627577114e-10,-5.717094545731244e-10
0.02039999999999934,81621,28,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,7.526590786499509e-05,-0.015561022413611663,0.0004453125,1.5625e-05,1.953125e-05,-5.717094545731244e-10,-6.644358161255811e-10
0.02039999999999934,81621,29,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,7.759993434310235e-05,-0.01556246077819847,0.0004609375,1.5625e-05,1.953125e-05,-6.644358161255811e-10,-7.684973800526948e-10
0.02039999999999934,81621,30,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,7.989040768470014e-05,-0.015563952317648769,0.0004765625,1.5625e-05,1.953125e-05,-7.684973800526948e-10,-8.771184051395696e-10
0.02039999999999934,81621,31,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,8.232697830017202e-05,-0.01556538247486003,0.0004921875,1.5625e-05,1.953125e-05,-8.771184051395696e-10,-9.835557914537e-10
0.02049999999999933,82021,0,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.602783855935774e-05,-0.015514358277090834,7.8125e-06,1.5625e-05,1.953125e-05,0.0,4.604574818053194e-16
0.02049999999999933,82021,1,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.593682984097708e-05,-0.015514308772750543,2.34375e-05,1.5625e-05,1.953125e-05,4.604574818053194e-16,-6.365675166592486e-14
0.02049999999999933,82021,2,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.569606750172539e-05,-0.0155142982708144,3.90625e-05,1.5625e-05,1.953125e-05,-6.365675166592486e-14,-3.528315461236077e-13
0.02049999999999933,82021,3,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.539219065732356e-05,-0.01551431134686314,5.46875e-05,1.5625e-05,1.953125e-05,-3.528315461236077e-13,-1.1028423714533366e-12
